sku_code,location_code,location_name,snapshot_at,on_hand_qty,reserved_qty,available_qty,in_transit_qty,damaged_qty,safety_stock_qty
ARC-07-BLK-F,ONLINE,온라인몰,2026-08-24T09:00:00+09:00,45,0,45,40,2,35
ARC-07-BLK-F,STORE-SEONGSU,성수 플래그십,2026-08-24T09:00:00+09:00,65,1,64,0,0,35
ARC-07-BLK-F,STORE-GANGNAM,강남점,2026-08-24T09:00:00+09:00,47,2,45,0,0,35
ARC-07-BLK-F,STORE-HANNAM,한남점,2026-08-24T09:00:00+09:00,105,3,102,0,0,35
ARC-07-BLK-F,STORE-BUSAN,부산 센텀,2026-08-24T09:00:00+09:00,125,4,121,40,0,35
ARC-07-BLK-F,STORE-SHANGHAI,상하이 IFC,2026-08-24T09:00:00+09:00,145,5,140,0,0,35
ARC-07-BLK-F,DC-ONLINE,온라인 DC,2026-08-24T09:00:00+09:00,165,6,159,0,0,35
FLOW-22-BLK-F,ONLINE,온라인몰,2026-08-24T09:00:00+09:00,77,1,76,0,0,38
FLOW-22-BLK-F,STORE-SEONGSU,성수 플래그십,2026-08-24T09:00:00+09:00,307,2,305,0,0,38
FLOW-22-BLK-F,STORE-GANGNAM,강남점,2026-08-24T09:00:00+09:00,117,3,114,0,0,38
FLOW-22-BLK-F,STORE-HANNAM,한남점,2026-08-24T09:00:00+09:00,137,4,133,40,0,38
FLOW-22-BLK-F,STORE-BUSAN,부산 센텀,2026-08-24T09:00:00+09:00,157,5,152,0,0,38
FLOW-22-BLK-F,STORE-SHANGHAI,상하이 IFC,2026-08-24T09:00:00+09:00,177,6,171,0,0,38
FLOW-22-BLK-F,DC-ONLINE,온라인 DC,2026-08-24T09:00:00+09:00,197,7,190,0,0,38
EASE-19-IVY-F,ONLINE,온라인몰,2026-08-24T09:00:00+09:00,109,2,107,0,0,41
EASE-19-IVY-F,STORE-SEONGSU,성수 플래그십,2026-08-24T09:00:00+09:00,129,3,126,0,0,41
EASE-19-IVY-F,STORE-GANGNAM,강남점,2026-08-24T09:00:00+09:00,149,4,145,40,0,41
EASE-19-IVY-F,STORE-HANNAM,한남점,2026-08-24T09:00:00+09:00,169,5,164,0,0,41
EASE-19-IVY-F,STORE-BUSAN,부산 센텀,2026-08-24T09:00:00+09:00,189,6,183,0,0,41
EASE-19-IVY-F,STORE-SHANGHAI,상하이 IFC,2026-08-24T09:00:00+09:00,209,7,202,0,0,41
EASE-19-IVY-F,DC-ONLINE,온라인 DC,2026-08-24T09:00:00+09:00,229,8,221,40,0,41
CORE-08-GRY-F,ONLINE,온라인몰,2026-08-24T09:00:00+09:00,141,3,138,0,0,44
CORE-08-GRY-F,STORE-SEONGSU,성수 플래그십,2026-08-24T09:00:00+09:00,161,4,157,40,0,44
CORE-08-GRY-F,STORE-GANGNAM,강남점,2026-08-24T09:00:00+09:00,181,5,176,0,0,44
CORE-08-GRY-F,STORE-HANNAM,한남점,2026-08-24T09:00:00+09:00,201,6,195,0,0,44
CORE-08-GRY-F,STORE-BUSAN,부산 센텀,2026-08-24T09:00:00+09:00,221,7,214,0,0,44
CORE-08-GRY-F,STORE-SHANGHAI,상하이 IFC,2026-08-24T09:00:00+09:00,241,8,233,40,0,44
CORE-08-GRY-F,DC-ONLINE,온라인 DC,2026-08-24T09:00:00+09:00,261,9,252,0,2,44
AIR-24-NVY-F,ONLINE,온라인몰,2026-08-24T09:00:00+09:00,173,4,169,40,0,47
AIR-24-NVY-F,STORE-SEONGSU,성수 플래그십,2026-08-24T09:00:00+09:00,193,5,188,0,0,47
