sold_at,channel_code,sku_code,quantity,net_sales,unit_cost,channel_fee,marketing_cost,shipping_cost,return_cost,returned_quantity,location_code,location_name,product_name,category,order_id,line_id,country_code,currency_code,customer_token,shipping_region_1,shipping_region_2,order_status
2026-08-23T10:00:00.000Z,자사몰,ARC-07-BLK-F,4,0,82000,0,0,3500,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BETA-00-0-0,1,KR,KRW,CUST-0001,서울,성동구,cancelled
2026-08-23T11:07:00.000Z,무신사,ARC-07-BLK-F,5,1091200,82000,130944,49104,3500,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BETA-00-0-1,1,KR,KRW,CUST-0006,서울,강남구,paid
2026-08-23T12:14:00.000Z,29CM,ARC-07-BLK-F,7,1562400,82000,218736,62496,3500,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BETA-00-0-2,1,KR,KRW,CUST-0011,경기,성남시,paid
2026-08-23T13:21:00.000Z,네이버,ARC-07-BLK-F,8,1864960,82000,149197,46624,3500,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BETA-00-0-3,1,KR,KRW,CUST-0016,부산,해운대구,paid
2026-08-23T14:28:00.000Z,W컨셉,ARC-07-BLK-F,9,1919520,82000,287928,67183,3500,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BETA-00-0-4,1,KR,KRW,CUST-0021,인천,연수구,paid
2026-08-23T15:35:00.000Z,매장 POS,ARC-07-BLK-F,10,2430400,82000,48608,24304,0,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BETA-00-0-5,1,CN,KRW,CUST-0026,대구,수성구,paid
2026-08-23T11:11:00.000Z,자사몰,FLOW-22-BLK-F,6,919560,51000,36782,32185,3500,0,0,ONLINE,온라인몰,Drape Pants,BOTTOM,BETA-00-1-0,1,KR,KRW,CUST-0012,서울,강남구,paid
2026-08-23T12:18:00.000Z,무신사,FLOW-22-BLK-F,7,973280,51000,116794,43798,3500,0,0,ONLINE,온라인몰,Drape Pants,BOTTOM,BETA-00-1-1,1,KR,KRW,CUST-0017,경기,성남시,paid
2026-08-23T13:25:00.000Z,29CM,FLOW-22-BLK-F,9,1279800,51000,179172,51192,3500,0,0,ONLINE,온라인몰,Drape Pants,BOTTOM,BETA-00-1-2,1,KR,KRW,CUST-0022,부산,해운대구,paid
2026-08-23T14:32:00.000Z,네이버,FLOW-22-BLK-F,10,1485200,51000,118816,37130,3500,0,0,ONLINE,온라인몰,Drape Pants,BOTTOM,BETA-00-1-3,1,KR,KRW,CUST-0027,인천,연수구,paid
2026-08-23T15:39:00.000Z,W컨셉,FLOW-22-BLK-F,11,1494680,51000,224202,52314,3500,0,0,ONLINE,온라인몰,Drape Pants,BOTTOM,BETA-00-1-4,1,KR,KRW,CUST-0032,대구,수성구,paid
2026-08-23T16:46:00.000Z,매장 POS,FLOW-22-BLK-F,12,1858080,51000,37162,18581,0,0,0,STORE-SEONGSU,성수 플래그십,Drape Pants,BOTTOM,BETA-00-1-5,1,CN,KRW,CUST-0037,서울,성동구,paid
2026-08-23T12:22:00.000Z,자사몰,EASE-19-IVY-F,8,690640,27000,27626,24172,3500,0,0,ONLINE,온라인몰,Layer Top,TOP,BETA-00-2-0,1,KR,KRW,CUST-0023,경기,성남시,paid
2026-08-23T13:29:00.000Z,무신사,EASE-19-IVY-F,9,704880,27000,84586,31720,3500,0,0,ONLINE,온라인몰,Layer Top,TOP,BETA-00-2-1,1,KR,KRW,CUST-0028,부산,해운대구,paid
2026-08-23T14:36:00.000Z,29CM,EASE-19-IVY-F,11,881100,27000,123354,35244,3500,0,0,ONLINE,온라인몰,Layer Top,TOP,BETA-00-2-2,1,KR,KRW,CUST-0033,인천,연수구,paid
2026-08-23T15:43:00.000Z,네이버,EASE-19-IVY-F,12,1003920,27000,80314,25098,3500,0,0,ONLINE,온라인몰,Layer Top,TOP,BETA-00-2-3,1,KR,KRW,CUST-0038,대구,수성구,paid
2026-08-23T16:50:00.000Z,W컨셉,EASE-19-IVY-F,13,995020,27000,149253,34826,3500,0,0,ONLINE,온라인몰,Layer Top,TOP,BETA-00-2-4,1,KR,KRW,CUST-0043,서울,성동구,paid
2026-08-23T17:57:00.000Z,매장 POS,EASE-19-IVY-F,13,1133860,27000,22677,11339,0,0,0,STORE-GANGNAM,강남점,Layer Top,TOP,BETA-00-2-5,1,CN,KRW,CUST-0048,서울,강남구,paid
2026-08-23T13:33:00.000Z,자사몰,CORE-08-GRY-F,10,1154300,39000,46172,40401,3500,0,0,ONLINE,온라인몰,Core Knit,TOP,BETA-00-3-0,1,KR,KRW,CUST-0034,부산,해운대구,paid
2026-08-23T14:40:00.000Z,무신사,CORE-08-GRY-F,11,1151920,39000,138230,51836,3500,0,0,ONLINE,온라인몰,Core Knit,TOP,BETA-00-3-1,1,KR,KRW,CUST-0039,인천,연수구,paid
2026-08-23T15:47:00.000Z,29CM,CORE-08-GRY-F,13,1392300,39000,194922,55692,3500,0,0,ONLINE,온라인몰,Core Knit,TOP,BETA-00-3-2,1,KR,KRW,CUST-0044,대구,수성구,paid
2026-08-23T16:54:00.000Z,네이버,CORE-08-GRY-F,13,1454180,39000,116334,36355,3500,0,0,ONLINE,온라인몰,Core Knit,TOP,BETA-00-3-3,1,KR,KRW,CUST-0049,서울,성동구,paid
2026-08-23T17:01:00.000Z,W컨셉,CORE-08-GRY-F,14,1432760,39000,214914,50147,3500,0,0,ONLINE,온라인몰,Core Knit,TOP,BETA-00-3-4,1,KR,KRW,CUST-0054,서울,강남구,paid
2026-08-23T18:08:00.000Z,매장 POS,CORE-08-GRY-F,14,1632680,39000,32654,16327,0,0,0,STORE-HANNAM,한남점,Core Knit,TOP,BETA-00-3-5,1,CN,KRW,CUST-0059,경기,성남시,paid
2026-08-23T14:44:00.000Z,자사몰,AIR-24-NVY-F,12,2304720,65000,92189,80665,3500,0,0,ONLINE,온라인몰,Volume Dress,DRESS,BETA-00-4-0,1,KR,KRW,CUST-0045,인천,연수구,paid
2026-08-23T15:51:00.000Z,무신사,AIR-24-NVY-F,13,2265120,65000,271814,101930,3500,0,0,ONLINE,온라인몰,Volume Dress,DRESS,BETA-00-4-1,1,KR,KRW,CUST-0050,대구,수성구,paid
2026-08-23T16:58:00.000Z,29CM,AIR-24-NVY-F,14,2494800,65000,349272,99792,3500,0,0,ONLINE,온라인몰,Volume Dress,DRESS,BETA-00-4-2,1,KR,KRW,CUST-0055,서울,성동구,paid
2026-08-23T17:05:00.000Z,네이버,AIR-24-NVY-F,14,2605680,65000,208454,65142,3500,0,0,ONLINE,온라인몰,Volume Dress,DRESS,BETA-00-4-3,1,KR,KRW,CUST-0060,서울,강남구,paid
2026-08-23T18:12:00.000Z,W컨셉,AIR-24-NVY-F,14,2383920,65000,357588,83437,3500,0,0,ONLINE,온라인몰,Volume Dress,DRESS,BETA-00-4-4,1,KR,KRW,CUST-0065,경기,성남시,paid
