sku_code,location_code,location_name,snapshot_at,on_hand_qty,reserved_qty,available_qty,in_transit_qty,damaged_qty,safety_stock_qty,scenario_note,data_pack_version
ARC-07-BLK-F,ONLINE,온라인몰,2026-08-17T09:00:00+09:00,70,0,70,0,2,35,이벤트 전 기준 재고,v2
ARC-07-BLK-F,STORE-SEONGSU,성수 플래그십,2026-08-17T09:00:00+09:00,108,1,107,0,0,35,이벤트 전 기준 재고,v2
ARC-07-BLK-F,STORE-GANGNAM,강남점,2026-08-17T09:00:00+09:00,146,2,144,0,0,35,이벤트 전 기준 재고,v2
ARC-07-BLK-F,STORE-HANNAM,한남점,2026-08-17T09:00:00+09:00,124,3,121,0,0,35,이벤트 전 기준 재고,v2
ARC-07-BLK-F,STORE-BUSAN,부산 센텀,2026-08-17T09:00:00+09:00,162,4,158,0,0,35,이벤트 전 기준 재고,v2
ARC-07-BLK-F,STORE-SHANGHAI,상하이 IFC,2026-08-17T09:00:00+09:00,200,5,195,0,0,35,이벤트 전 기준 재고,v2
ARC-07-BLK-F,DC-ONLINE,온라인 DC,2026-08-17T09:00:00+09:00,178,6,172,0,0,35,이벤트 전 기준 재고,v2
FLOW-22-BLK-F,ONLINE,온라인몰,2026-08-17T09:00:00+09:00,99,1,98,0,0,38,이벤트 전 기준 재고,v2
FLOW-22-BLK-F,STORE-SEONGSU,성수 플래그십,2026-08-17T09:00:00+09:00,137,2,135,0,0,38,이벤트 전 기준 재고,v2
FLOW-22-BLK-F,STORE-GANGNAM,강남점,2026-08-17T09:00:00+09:00,115,3,112,0,0,38,이벤트 전 기준 재고,v2
FLOW-22-BLK-F,STORE-HANNAM,한남점,2026-08-17T09:00:00+09:00,153,4,149,0,0,38,이벤트 전 기준 재고,v2
FLOW-22-BLK-F,STORE-BUSAN,부산 센텀,2026-08-17T09:00:00+09:00,191,5,186,0,0,38,이벤트 전 기준 재고,v2
FLOW-22-BLK-F,STORE-SHANGHAI,상하이 IFC,2026-08-17T09:00:00+09:00,169,6,163,0,0,38,이벤트 전 기준 재고,v2
FLOW-22-BLK-F,DC-ONLINE,온라인 DC,2026-08-17T09:00:00+09:00,200,0,200,0,0,38,이벤트 전 기준 재고,v2
EASE-19-CRM-F,ONLINE,온라인몰,2026-08-17T09:00:00+09:00,128,2,126,0,0,30,이벤트 전 기준 재고,v2
EASE-19-CRM-F,STORE-SEONGSU,성수 플래그십,2026-08-17T09:00:00+09:00,106,3,103,0,0,30,이벤트 전 기준 재고,v2
EASE-19-CRM-F,STORE-GANGNAM,강남점,2026-08-17T09:00:00+09:00,144,4,140,0,0,30,이벤트 전 기준 재고,v2
EASE-19-CRM-F,STORE-HANNAM,한남점,2026-08-17T09:00:00+09:00,182,5,177,0,0,30,이벤트 전 기준 재고,v2
